ID,Domain,Name,Max Rate
7877,"fifthroom.com","Fifthroom.com","6.5%"
7880,"shop.dometic.com","Dometic","3.3%"
7880,"dometic.com","Dometic","3.3%"
7882,"ashampoo.com","Ashampoo","19.5%"
7888,"trekbikes.com","Trek Bicycle","3.3%"
7890,"logitechg.com","Logitech G","2.6%"
7891,"matadorup.com","Matador","0.7%"
7891,"matadorequipment.com","Matador","0.7%"
7927,"scalahosting.com","Scala Hosting","$195.00"
8005,"cottonon.com","Cotton On","2%"
8022,"kissmyketo.com","Kiss My Keto","7.8%"
8023,"logomaker.com","LogoMix","9.8%"
8029,"heatholders.com","Heat Holders","1.6%"
8038,"moxdirect.com","MOXXOR","6.5%"
8042,"taylorstitch.com","Taylor Stitch","2.6%"
8047,"maps.com","MAPS.com","6.5%"
8102,"wineonsale.com","Wine On Sale","3.3%"
8106,"jambu.com","Jambu","4.6%"
8114,"edreams.net","eDreams","3.9%"
8163,"johnrobshaw.com","John Robshaw","3.3%"
8168,"hamiltonbeach.com","Hamilton Beach","7.8%"
8174,"vinylmeplease.com","Vinyl Me, Please","4.6%"
8185,"ooni.com","Ooni","6.5%"
8187,"jumperthreads.com","JUMPER Premium Threads","5.2%"
8241,"skinnydiplondon.com","Skinnydip","9.8%"
8246,"titlenine.com","Title Nine","6.5%"
8247,"fashionfabricsclub.com","Fashion Fabrics Club","7.8%"
8250,"sea-ny.com","Sea New York","4.6%"
8257,"melindamaria.com","Melinda Maria","3.9%"
8266,"rvca.com","RVCA","2%"
8268,"belkin.com","Belkin","3.9%"
8278,"aeraforhome.com","Aera","3.9%"
8281,"bonjourglobal.com","Bonjour Global Development Limited","3.3%"
8350,"worldnutrition.net","World Nutrition Inc.","13%"
8357,"carolina.com","Carolina Biological Supply Company","2%"
8365,"rvshare.com","RVshare","3.9%"
8423,"gantri.com","Gantri","2.6%"
8434,"4seating.com","4seating.com","5.2%"
8516,"pvolve.com","Pvolve","2.6%"
8552,"bannerbuzz.com","BannerBuzz","5.2%"
8614,"thisworks.com","This Works Cosmetics","3.3%"
8632,"ivyrobes.com","Ivy Robes","5.2%"
8733,"aimeekestenberg.com","Aimee Kestenberg","6.5%"
8742,"tokbeauty.com","TOK Beauty","6.5%"
8747,"brightech.com","Brightech","4.6%"
8747,"brightechshop.com","Brightech","4.6%"
8749,"surfshark.com","Surfshark","42.3%"
8753,"drcomfort.com","Dr. Comfort","2%"
8758,"bluecoolers.com","Blue Coolers","2.6%"
8759,"lucyd.co","Lucyd","6.5%"
8768,"surveyjunkie.com","Survey Junkie","$22.75"
8775,"onlinestarmap.com","Online StarMap","13%"
8784,"antonioli.eu","Antonioli","6.5%"
8786,"shopsonix.com","ShopSonix","6.5%"
8790,"smalls.com","Smalls","13%"
8790,"smallsforsmalls.com","Smalls","13%"
8791,"mindvalley.com","Mindvalley","3.3%"
8904,"grosche.ca","Grosche International Inc.","6.5%"
8906,"wholesalechess.com","Wholesale Chess","2%"
8908,"elevationlab.com","Elevation Lab","6.5%"
8913,"codakid.com","CodaKid","7.8%"
8920,"gochirp.com","Chirp","0.7%"
8925,"savoryspiceshop.com","Savory Spice Shop","4.6%"
8929,"takeyausa.com","Takeya USA","5.2%"
8942,"culinaryteas.com","Culinary Teas","6.5%"
8945,"shop.brandless.com","Brandless","9.8%"
8945,"brandless.com","Brandless","9.8%"
8948,"bemz.com","Bemz","5.2%"
8953,"eatwith.com","EatWith","5.2%"
8958,"chicos.com","Chico's","1.3%"
8969,"magix.com","MAGIX & VEGAS Creative Software","26%"
8974,"kammok.com","Kammok","3.3%"
8981,"freshdirect.com","FreshDirect","3.9%"
8989,"rossignol.com","Rossignol","3.9%"
9136,"aninebing.com","ANINE BING","5.2%"
9179,"shop.mukzin.com","Mukzin","9.8%"
9185,"especiallyyours.com","Especially Yours","3.3%"
9190,"hellomolly.com","HelloMolly","5.2%"
9192,"jumpsport.com","JumpSport","1.3%"
9193,"cookunity.com","CookUnity","$9.75"
9194,"myheritage.com","MyHeritage","19.5%"
9202,"qunol.com","Qunol","3.3%"
9218,"h10hotels.com","H10 Hotels","3.9%"
9219,"corinthia.com","Corinthia","4.6%"
9221,"chatrium.com","Chatrium Hotels","3.9%"
9222,"dusit.com","Dusit International","3.3%"
9223,"lebua.com","Lebua Hotels","3.3%"
9224,"onyx-hospitality.com","Onyx Hospitality","2.6%"
9229,"belivehotels.com","Be Live Hotels","2.9%"
9232,"oberoihotels.com","Oberoi Hotels","3.9%"
9233,"tridenthotels.com","Trident Hotels","3.9%"
9241,"backsupportsystems.com","Back Support Systems INC","4.6%"
9245,"pedroshoes.com","Pedro Shoes","4.6%"
9249,"illesteva.com","illesteva","2%"
9252,"mignonfaget.com","Mignon Faget","2.6%"
9253,"dell.com","Dell Home & Home Office","4.6%"
9258,"gabrielny.com","Gabriel & Co.","3.3%"
9263,"lensabl.com","Lensabl - The Online Optometrist","3.9%"
9265,"cox.com","Cox Communications","$48.75"
9268,"photowhoa.com","photowhoa","13%"
9274,"leam.com","Leam","5.9%"
9291,"driftaway.coffee","Driftaway Coffee","5.2%"
9296,"glarrymusic.com","Glarry Music","7.8%"
9299,"melodysusie.com","MelodySusie","6.5%"
9302,"dior.com","Dior Beauty","5.2%"
9303,"maxpeedingrods.com","MaXpeedingrods","5.2%"
9305,"threedots.com","Three Dots","3.3%"
9350,"whiskerslaces.com","Whiskers Laces","13%"
9351,"odealarose.com","Ode à la Rose","5.2%"
9355,"nurx.com","Nurx","$6.50"
9384,"ca.attitudeliving.com","Attitude Living","2.6%"
9384,"attitudeliving.com","Attitude Living","2.6%"
9386,"urbanstems.com","UrbanStems","11.1%"
9389,"luxdecorcollection.com","Lux Decor Collection","16.3%"
9455,"310nutrition.com","310 Nutrition","6.5%"
9458,"forzasports.com","Forza Sports","6.5%"
9472,"brooklynbrewshop.com","Brooklyn Brew Shop","9.8%"
9475,"ericjavits.com","Eric Javits","3.3%"
9483,"gainful.com","Gainful","6.5%"
9484,"derek-rose.com","Derek Rose","3.9%"
9517,"felina.com","Felina Intimates","6.5%"
9519,"beach.ly","Beachly","$16.25"
9519,"beachly.com","Beachly","$16.25"
9525,"esrgear.com","ESR Gear","8.5%"
9525,"esrtech.com","ESR Gear","8.5%"
9580,"yourmechanic.com","YourMechanic","$6.50"
31259,"llbean.com","L.L. Bean","2%"
32316,"thewinstonbox.com","The Winston Box","$16.25"
34452,"splashwines.com","Splash Wines","$29.25"
34461,"tenorshare.com","Tenorshare","32.5%"
34465,"ergonofis.com","ergonofis","3.9%"
34467,"morningsave.com","MorningSave","4.6%"
34467,"sidedeal.com","MorningSave","4.6%"
34467,"meh.com","MorningSave","4.6%"
36297,"oneclass.com","OneClass","$2.08"
36334,"lancerskincare.com","Lancer Skincare","6.5%"
